TOKEN_TYPE      TOKEN_VALUE     LEXEME
RESERVED        -               int
IDENTIFIER      -               add
PUNCT           -               (
RESERVED        -               int
IDENTIFIER      -               a
PUNCT           -               ,
RESERVED        -               int
IDENTIFIER      -               b
PUNCT           -               )
PUNCT           -               {
RESERVED        -               return
IDENTIFIER      -               a
OPERATOR        -               +
IDENTIFIER      -               b
PUNCT           -               ;
PUNCT           -               }
RESERVED        -               int
IDENTIFIER      -               main
PUNCT           -               (
PUNCT           -               )
PUNCT           -               {
RESERVED        -               int
IDENTIFIER      -               arr
PUNCT           -               [
INTEGER         -               3
PUNCT           -               ]
PUNCT           -               ;
IDENTIFIER      -               arr
PUNCT           -               [
INTEGER         -               1
PUNCT           -               ]
OPERATOR        -               =
INTEGER         -               5
PUNCT           -               ;
RESERVED        -               int
IDENTIFIER      -               z
PUNCT           -               ;
IDENTIFIER      -               z
OPERATOR        -               =
IDENTIFIER      -               add
PUNCT           -               (
INTEGER         -               1
PUNCT           -               ,
INTEGER         -               2
PUNCT           -               )
PUNCT           -               ;
RESERVED        -               if
PUNCT           -               (
IDENTIFIER      -               z
OPERATOR        -               >
INTEGER         -               2
PUNCT           -               )
PUNCT           -               {
RESERVED        -               cout
OPERATOR        -               <<
IDENTIFIER      -               z
PUNCT           -               ;
PUNCT           -               }
RESERVED        -               else
PUNCT           -               {
RESERVED        -               cout
OPERATOR        -               <<
INTEGER         -               0
PUNCT           -               ;
PUNCT           -               }
RESERVED        -               cout
OPERATOR        -               <<
IDENTIFIER      -               arr
PUNCT           -               [
INTEGER         -               1
PUNCT           -               ]
PUNCT           -               ;
RESERVED        -               return
INTEGER         -               0
PUNCT           -               ;
PUNCT           -               }
EOF             -               
